filepath,subject,mode,capture_label,predicted_label,final_label,reviewed
raw\user2\s20260616_002451\0001.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0002.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0003.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0004.jpg,user2,posed,neutral,happiness,neutral,True
raw\user2\s20260616_002451\0005.jpg,user2,posed,neutral,happiness,neutral,True
raw\user2\s20260616_002451\0006.jpg,user2,posed,neutral,happiness,neutral,True
raw\user2\s20260616_002451\0007.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0008.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0009.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0010.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0011.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0012.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0016.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0017.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0018.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0028.jpg,user2,posed,anger,neutral,anger,True
raw\user2\s20260616_002451\0029.jpg,user2,posed,anger,fear,anger,True
raw\user2\s20260616_002451\0030.jpg,user2,posed,anger,neutral,anger,True
raw\user2\s20260616_002451\0031.jpg,user2,posed,disgust,sadness,disgust,True
raw\user2\s20260616_002451\0032.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0033.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0034.jpg,user2,posed,fear,neutral,surprise,True
raw\user2\s20260616_002451\0035.jpg,user2,posed,fear,neutral,fear,True
raw\user2\s20260616_002451\0036.jpg,user2,posed,fear,neutral,fear,True
raw\user2\s20260616_002451\0037.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0038.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0039.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0040.jpg,user2,posed,contempt,surprise,contempt,True
raw\user2\s20260616_002451\0041.jpg,user2,posed,contempt,fear,contempt,True
raw\user2\s20260616_002451\0042.jpg,user2,posed,contempt,fear,contempt,True
raw\user2\s20260616_002451\0043.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0044.jpg,user2,posed,contempt,fear,contempt,True
raw\user2\s20260616_002451\0045.jpg,user2,posed,contempt,sadness,contempt,True
raw\user2\s20260616_002451\0046.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0047.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0048.jpg,user2,posed,contempt,anger,contempt,True
raw\user2\s20260616_002451\0049.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0050.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0051.jpg,user2,posed,contempt,happiness,contempt,True
raw\user2\s20260616_002451\0052.jpg,user2,posed,contempt,neutral,contempt,True
raw\user2\s20260616_002451\0053.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0054.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0055.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0056.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0057.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0058.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0059.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0060.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0061.jpg,user2,posed,neutral,neutral,neutral,True
raw\user2\s20260616_002451\0062.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0063.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0064.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0065.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0066.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0067.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0068.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0069.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0070.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0071.jpg,user2,posed,happiness,happiness,happiness,True
raw\user2\s20260616_002451\0072.jpg,user2,posed,happiness,neutral,happiness,True
raw\user2\s20260616_002451\0073.jpg,user2,posed,happiness,neutral,happiness,True
raw\user2\s20260616_002451\0074.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0075.jpg,user2,posed,surprise,fear,surprise,True
raw\user2\s20260616_002451\0076.jpg,user2,posed,surprise,happiness,surprise,True
raw\user2\s20260616_002451\0077.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0078.jpg,user2,posed,surprise,anger,surprise,True
raw\user2\s20260616_002451\0079.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0080.jpg,user2,posed,surprise,sadness,surprise,True
raw\user2\s20260616_002451\0081.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0082.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0083.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0084.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0085.jpg,user2,posed,surprise,surprise,surprise,True
raw\user2\s20260616_002451\0086.jpg,user2,posed,sadness,fear,sadness,True
raw\user2\s20260616_002451\0087.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0088.jpg,user2,posed,sadness,surprise,sadness,True
raw\user2\s20260616_002451\0089.jpg,user2,posed,sadness,fear,sadness,True
raw\user2\s20260616_002451\0090.jpg,user2,posed,sadness,surprise,sadness,True
raw\user2\s20260616_002451\0091.jpg,user2,posed,sadness,surprise,sadness,True
raw\user2\s20260616_002451\0092.jpg,user2,posed,sadness,fear,sadness,True
raw\user2\s20260616_002451\0093.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0094.jpg,user2,posed,sadness,sadness,sadness,True
raw\user2\s20260616_002451\0095.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0096.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0097.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0098.jpg,user2,posed,sadness,neutral,sadness,True
raw\user2\s20260616_002451\0099.jpg,user2,posed,anger,neutral,disgust,True
raw\user2\s20260616_002451\0100.jpg,user2,posed,anger,neutral,anger,True
raw\user2\s20260616_002451\0101.jpg,user2,posed,anger,neutral,disgust,True
raw\user2\s20260616_002451\0102.jpg,user2,posed,anger,neutral,anger,True
raw\user2\s20260616_002451\0103.jpg,user2,posed,anger,neutral,anger,True
raw\user2\s20260616_002451\0104.jpg,user2,posed,anger,neutral,anger,True
raw\user2\s20260616_002451\0105.jpg,user2,posed,anger,sadness,anger,True
raw\user2\s20260616_002451\0106.jpg,user2,posed,anger,neutral,anger,True
raw\user2\s20260616_002451\0107.jpg,user2,posed,anger,neutral,disgust,True
raw\user2\s20260616_002451\0111.jpg,user2,posed,anger,surprise,anger,True
raw\user2\s20260616_002451\0112.jpg,user2,posed,anger,fear,anger,True
raw\user2\s20260616_002451\0113.jpg,user2,posed,anger,surprise,anger,True
raw\user2\s20260616_002451\0114.jpg,user2,posed,disgust,fear,disgust,True
raw\user2\s20260616_002451\0115.jpg,user2,posed,disgust,surprise,disgust,True
raw\user2\s20260616_002451\0116.jpg,user2,posed,disgust,anger,disgust,True
raw\user2\s20260616_002451\0117.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0118.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0119.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0120.jpg,user2,posed,disgust,fear,disgust,True
raw\user2\s20260616_002451\0121.jpg,user2,posed,disgust,fear,disgust,True
raw\user2\s20260616_002451\0122.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0123.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0124.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0125.jpg,user2,posed,disgust,neutral,disgust,True
raw\user2\s20260616_002451\0126.jpg,user2,posed,fear,surprise,fear,True
raw\user2\s20260616_002451\0127.jpg,user2,posed,fear,surprise,fear,True
raw\user2\s20260616_002451\0128.jpg,user2,posed,fear,sadness,fear,True
raw\user2\s20260616_002451\0129.jpg,user2,posed,fear,neutral,fear,True
raw\user2\s20260616_002451\0130.jpg,user2,posed,fear,neutral,fear,True
raw\user2\s20260616_002451\0131.jpg,user2,posed,fear,neutral,fear,True
raw\user2\s20260616_002451\0132.jpg,user2,posed,fear,neutral,fear,True
raw\user2\s20260616_002451\0133.jpg,user2,posed,fear,fear,fear,True
raw\user2\s20260616_002451\0134.jpg,user2,posed,fear,fear,fear,True
raw\user2\s20260616_002451\0135.jpg,user2,posed,fear,happiness,fear,True
raw\user2\s20260616_002451\0136.jpg,user2,posed,fear,neutral,fear,True
raw\user2\s20260616_002451\0137.jpg,user2,posed,fear,neutral,fear,True
